ID,Aspect,Category,Opinion,Gold_VA,Pred_VA,cTP_score,VA_distance
rest16_quad_train_319,place,restaurant#general,null,5.33#5.33,5.05#5.41,0.9742609246475324,0.025739075352467555
rest16_quad_train_1434,palce,restaurant#general,null,3.50#5.80,5.02#5.41,0.8612978686176741,0.1387021313823259
rest16_quad_train_844,porcini mushroom pasta special,food#quality,tasteless,2.50#7.33,3.60#6.34,0.8691942040657219,0.1308057959342781
rest16_quad_train_844,seafood tagliatelle,food#quality,tasteless,2.33#7.17,3.28#6.47,0.8956980045732585,0.10430199542674146
rest16_quad_train_1170,waitress,service#general,null,5.00#5.00,4.90#5.41,0.962698441721558,0.03730155827844195
rest16_quad_train_442,wine choices,drinks#style_options,very good,6.88#7.12,6.86#6.88,0.978713267042592,0.021286732957408017
rest16_quad_train_685,null,location#general,null,4.67#5.33,4.91#5.39,0.9781339303943302,0.021866069605669836
rest16_quad_train_1444,null,food#quality,completely inedible,3.00#5.00,2.58#6.94,0.8245541394047725,0.1754458605952275
rest16_quad_test_92,food,food#quality,nice,6.83#7.00,6.71#6.94,0.9881414587743685,0.011858541225631458
rest16_quad_train_1318,null,restaurant#miscellaneous,null,5.00#5.00,4.96#5.41,0.9635887208409262,0.03641127915907383
rest16_quad_train_266,big wong,restaurant#general,fine,7.00#6.88,7.13#7.11,0.9766480728846633,0.023351927115336735
rest16_quad_train_427,service,service#general,very good,7.38#7.38,6.72#6.76,0.9199609470320894,0.08003905296791058
rest16_quad_train_747,suan,restaurant#general,great,7.33#7.50,7.64#7.64,0.9699349663229858,0.030065033677014186
rest16_quad_dev_161,food,food#quality,null,5.00#5.00,5.03#5.40,0.9645453634907929,0.035454636509207105
rest16_quad_train_42,food,food#quality,great,7.88#7.75,7.65#7.62,0.9766480728846633,0.023351927115336735
rest16_quad_train_1006,service,service#general,good,7.17#7.00,6.65#6.72,0.9477984674554473,0.05220153254455273
rest16_quad_train_943,null,service#general,null,5.00#5.00,4.97#5.40,0.9645453634907929,0.035454636509207105
rest16_quad_train_1034,sushi,food#quality,reliable,7.00#6.88,7.86#7.81,0.8880394879879517,0.11196051201204826
rest16_quad_train_558,staff,service#general,really stressed,3.83#5.33,5.37#6.64,0.8212958975009248,0.1787041024990752
rest16_quad_train_558,staff,service#general,nice,6.83#7.00,7.34#7.28,0.9485749939231894,0.05142500607681055
rest16_quad_train_1004,atmosphere,ambience#general,love,7.62#7.62,7.66#7.65,0.9955805826175841,0.004419417382415913
rest16_quad_train_16,chow fun,food#quality,dry,3.25#6.50,2.55#6.82,0.9319696758790611,0.0680303241209389
rest16_quad_train_16,pork shu mai,food#quality,greasy,3.25#6.75,2.54#6.96,0.9345567994364579,0.06544320056354214
rest16_quad_train_1407,food,food#quality,good,7.38#7.50,6.36#6.44,0.8699759637605416,0.13002403623945835
rest16_quad_train_1408,place,restaurant#general,null,4.17#4.83,4.99#5.42,0.9107102679475405,0.08928973205245949
rest16_quad_train_125,food,food#quality,null,6.38#6.50,5.10#5.42,0.8519712865691254,0.14802871343087465
rest16_quad_dev_2,sake list,drinks#style_options,extensive,7.83#8.00,7.58#7.52,0.9521640172046189,0.04783598279538115
rest16_quad_dev_2,null,service#general,null,5.00#5.00,4.93#5.41,0.9632363970753681,0.03676360292463188
rest16_quad_train_553,wine list,drinks#style_options,really nice,7.50#7.62,7.68#7.65,0.9838706401242951,0.016129359875704852
rest16_quad_train_775,pad se ew chicken,food#quality,delicious,7.75#7.75,7.84#7.75,0.9920450487116513,0.007954951288348666
